count	Number of bins	build_time	build_ram	index_size	search_time	search_ram	Who
1	1024	501.71	4.4	4242469484	62.83	7.2	IBF
2	2048	541.41	4.2	4242508908	87.6	7.2	IBF
3	4096	690.3	4	4242583660	137.89	7.2	IBF
4	8192	1149.93	4	4242741356	235.61	7.2	IBF
5	16384	1338.21	4	4243089516	376.63	7.2	IBF
6	32768	2212.68	4	4243751020	662.65	7.2	IBF
7	65536	2090.82	4	4245078124	1278.05	7.2	IBF
8	131072	2948.47	4	4247994476	2470.98	7.2	IBF
9	262144	2499.65	4.1	4253548652	4948.82	7.2	IBF
10	524288	5696.91	4.1	4264689772	9736.45	7.3	IBF
11	1048576	5263.96	4.3	4289069164	29885.38	7.5	IBF
1	1024	549.3	49.7	13597732444	39.53	15.9	HIBF
2	2048	507.75	47.2	10900289212	39.42	13.4	HIBF
3	4096	455.44	45.7	8531541916	40.4	11.2	HIBF
4	8192	354.65	25.6	9867565820	47.88	12.4	HIBF
5	16384	255.21	25	8610951697	48.75	11.2	HIBF
6	32768	161.03	16.2	9071758156	54.08	11.7	HIBF
7	65536	131.94	15.8	8530713771	57.56	11.2	HIBF
8	131072	114.41	12.2	8983381788	64.14	11.6	HIBF
9	262144	112.88	12.1	8581224629	72.35	11.3	HIBF
10	524288	106.94	10.7	8808351196	86.79	11.6	HIBF
11	1048576	107.85	11.1	8616292560	100.63	11.5	HIBF
1	1024	15.46	0.44	NA	NA	NA	Layout
2	2048	15.87	0.26	NA	NA	NA	Layout
3	4096	16.49	0.11	NA	NA	NA	Layout
4	8192	21.2	0.11	NA	NA	NA	Layout
5	16384	35.61	0.19	NA	NA	NA	Layout
6	32768	104.19	0.39	NA	NA	NA	Layout
7	65536	383.4	0.85	NA	NA	NA	Layout
8	131072	1612.41	2.27	NA	NA	NA	Layout
9	262144	6666	5.44	NA	NA	NA	Layout
10	524288	30207	14.94	NA	NA	NA	Layout
11	1048576	124494	38.09	NA	NA	NA	Layout
