"method"    , "pre_time" , "pre_RAM" , "build_time" , "build_RAM" , "index size" , "query_time" , "query_RAM"  , "FP"   , "FN"   , "Accuracy"  , "rep_kmers"       , "k_or_m"
"HIBF"      , "13:20"    , 2.38      , "36:23"      , 214.8       , 159.15       , "5:32"       , 162.98       , 0.022  , 0      , 99.977447   , "20-mers"           , "kmer"
"HIBF"      , "13:13"    , 2.36      , "38:32"      , 230.07      , 160.78       , "4:51"       , 164.61       , 0.030  , 0      , 99.969654   , "24-mers"           , "kmer"
"HIBF"      , "13:01"    , 2.35      , "42:01"      , 238.26      , 162.02       , "4:59"       , 165.85       , 0.039  , 0      , 99.960277   , "28-mers"           , "kmer"
"HIBF"      , "12:53"    , 2.4       , "60:27"      , 253.4       , 163.1        , "5:23"       , 167.0        , 0.051  , 0      , 99.949192   , "32-mers"           , "kmer"
"HIBF"      , "13:23"    , 2.4       , "15:23"      , 78.37       , 51.1         , "1:50"       , 54.9         , 0.116  , 0.0003 , 99.88273    ,"(24,20)"  , "minimizer"
"HIBF"      , "13:28"    , 2.36      , "5:39"       , 31.43       , 22.14        , "1:04"       , 25.97        , 0.302  , 0.00003, 99.698033   ,"(32,20)"  , "minimizer"
"HIBF"      , "13:34"    , 2.36      , "4:04"       , 20.66       , 15.11        , "1:07"       , 18.94        , 0.452  , 0.00001, 99.547593   ,"(40,20)"  , "minimizer"
"HIBF"      , "13:10"    , 2.36      , "12:12"      , 73.88       , 51.59        , "1:31"       , 55.42        , 0.115  , 0.0004 , 99.884229   , "(28,24)" , "minimizer"
"HIBF"      , "13:08"    , 2.35      , "7:31"       , 43.01       , 30.87        , "1:11"       , 34.69        , 0.229  , 0.00003, 99.770532   ,"(32,24)"  , "minimizer"
"HIBF"      , "13:06"    , 2.36      , "7:28"       , 35.32       , 31.49        , "1:09"       , 35.32        , 0.242  , 0.00001, 99.758075   , "(40,32)" , "minimizer"
"IBF"       , "0:00"     , 0.0       , "40:02"      , 435.4       , 343.7        , "16:14"      , 438.6        , 0.047  , 0      , 99.952218   , "32-mers"           , "kmer"
"IBF"       , "0:00"     , 0.0       , "12:01"      , 137.9       , 137.3        , "6:23"       , 141.1        , 0.112  , 0.0003 , 99.887096   ,"(24,20)"  , "minimizer"
"Bifrost"   , "0:00"     , 0.0       , "1040:27"    , 519.7       , 68.3        , "232:54"     , 575.7        , 0.905  , 0.3239 , 99.9342     ,"32-mers"  , "kmer"
"Mantis"    , "140:35"   , 1.4       , "2719:19"    , 796.4       , 496.0        , "131:54"     , 496.4        , 0.0001 , 0.04   , 99.9442    , "32-mers"  , "kmer"
"Metagraph"   , "0:00"     , 0.0       , "1040:27"    , 519.7     , 301.0        , "232:54"     , 575.7      , 0.905  , 0.3239 , 99.4979     ,"32-mers"  , "kmer"
"COBS"    , "140:35"   , 1.4       , "2719:19"    , 796.4         , 104.0        , "131:54"     , 496.4          , 0.0001 , 0.04   , 99.9301    , "32-mers"  , "kmer"
